1,13,8,135,255
2,27,6,141,255
3,38,5,145,255
4,47,5,150,255
5,56,4,154,255
6,65,4,157,255
7,73,3,160,255
8,81,2,163,255
9,89,1,165,255
10,97,0,167,255
11,105,0,168,255
12,113,0,168,255
13,120,1,168,255
14,128,4,168,255
15,135,7,166,255
16,142,12,164,255
17,149,17,161,255
18,156,23,158,255
19,162,29,154,255
20,168,34,150,255
21,174,40,146,255
22,180,46,141,255
23,186,51,136,255
24,191,57,132,255
25,196,62,127,255
26,201,68,122,255
27,205,74,118,255
28,210,79,113,255
29,214,85,109,255
30,218,91,105,255
31,222,97,100,255
32,226,102,96,255
33,230,108,92,255
34,233,114,87,255
35,237,121,83,255
36,240,127,79,255
37,243,133,75,255
38,245,140,70,255
39,247,147,66,255
40,249,154,62,255
41,251,161,57,255
42,252,168,53,255
43,253,175,49,255
44,254,183,45,255
45,254,190,42,255
46,253,198,39,255
47,252,206,37,255
48,251,215,36,255
49,248,223,37,255
50,246,232,38,255
51,243,240,39,255
52,240,249,33,255
nv,0,0,0,0
